"id","survey_pattern","created_at","gender","age","occupation","residence","residence_detail","visit_purpose_list","interested_sdgs_goal","current_sdgs_actions","sdgs_action_trigger","future_sdgs_interest","future_sdgs_actions","content_satisfaction","memorable_booth","learning_moments","learning_moments_detail","okayama_focus_areas","okayama_focus_other","sdgs_challenges","improvements"
"17","heavy","2025-08-07 03:18:46.87844+00","女性","60代","その他","岡山県内","岡山市北区","[""展示見学"",""ワークショップ""]","16. 平和と公正をすべての人に","[""フードロス削減"",""地産地消"",""マイバッグ・マイボトルの使用"",""ゴミ分別"",""寄付・ボランティア""]","エコバッグ使用の呼びかけに呼応して。","はい","異常気象が少しでもおさまるようになればいいと思うので、その取り組みに参加したい。","{""展示"":""3"",""ステージ"":""3"",""ワークショップ"":""5"",""飲食"":""3"",""全体"":""4"",""その他（ステンレスボトル回収・マイボトル持参など）"":""3""}","3：ミサワホーム中国株式会社","はい","南極のペンギンやアザラシ、オーロラを見たとき、大切にしなければならないと強く思った。","[""森林の有効活用"",""クリーンエネルギーへの転換"",""フードロス""]",,"小さなことからコツコツとと思っているが、トランプ大統領のような暴君が登場すると、ガッカリします。","初めて参加させていただきましたが、感動しました。"
"18","heavy","2025-08-07 03:18:49.424242+00","女性","70代以上","主婦","岡山県内","東区","[""ステージ・講演"",""ワークショップ""]","3. すべての人に健康と福祉を","[""節電・節水"",""ゴミ分別""]","家庭、をあずかつ、てから","はい","節電節水","{""展示"":""4"",""ステージ"":""4"",""ワークショップ"":""4"",""飲食"":""4"",""その他（ステンレスボトル回収・マイボトル持参など）"":""4"",""全体"":""4""}","32：岡山ダイハツ販売株式会社","はい",,"[""環境保全"",""森林の有効活用""]",,"自然保護",""
"19","heavy","2025-08-07 03:21:45.386946+00","男性","高校生","学生","岡山県内","中区","[""その他""]","12. つくる責任つかう責任","[""フードロス削減"",""ゴミ分別""]","学校の公演","いいえ",,"{""展示"":""4"",""ステージ"":""4"",""飲食"":""3"",""ワークショップ"":""4"",""その他（ステンレスボトル回収・マイボトル持参など）"":""4"",""全体"":""3""}","70：奉還町まるごとフリースクール","いいえ",,"[""フードロス""]",,"皆が目標を知り達成に向かう姿勢が必要",""
"20","heavy","2025-08-07 03:21:55.558197+00","男性","高校生","学生","岡山県内","岡山市北区","[""その他""]","12. つくる責任つかう責任","[""節電・節水"",""フードロス削減"",""ゴミ分別""]","学校の授業","いいえ",,"{""展示"":""5"",""ステージ"":""4"",""ワークショップ"":""5"",""飲食"":""4"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""全体"":""4""}","50：ホテルグランヴィア岡山","いいえ",,"[""森林の有効活用"",""クリーンエネルギーへの転換""]",,"誰一人取り残さないというのが本当に実践できているのか",""
"21","heavy","2025-08-07 03:33:47.923269+00","女性","中学生以下","学生","岡山県内","岡山市北区","[""ワークショップ"",""付き添い"",""その他""]","2. 飢餓をゼロに","[""マイバッグ・マイボトルの使用"",""ゴミ分別""]","学校でSDGsを習ったから","はい","エコバック","{""展示"":""5"",""ステージ"":""5"",""ワークショップ"":""5"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""全体"":""5"",""飲食"":""5""}","その他","いいえ",,"[""防災など安全・安心な社会"",""森林の有効活用"",""海ごみ問題"",""環境保全"",""フードロス""]",,"飢餓",""
"22","heavy","2025-08-07 03:39:55.660544+00","男性","大学生","学生","岡山県内","岡山市","[""ワークショップ""]","3. すべての人に健康と福祉を","[""公共交通機関の利用""]","好きだから","はい","地域","{""展示"":""5"",""ステージ"":""5"",""ワークショップ"":""5"",""飲食"":""5"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""全体"":""5""}","55：岡山大学　OU!万博","はい","たのしくまなべた","[""海ごみ問題""]",,"関心の薄さ","またきたいです！"
"23","heavy","2025-08-07 03:40:29.044473+00","男性","大学生","学生","岡山県内","岡山市","[""展示見学""]","6. 安全な水とトイレを世界中に","[""ゴミ分別""]","一人暮らししたから","いいえ",,"{""展示"":""4"",""ステージ"":""4"",""ワークショップ"":""4"",""飲食"":""4"",""その他（ステンレスボトル回収・マイボトル持参など）"":""4"",""全体"":""4""}","55：岡山大学　OU!万博","いいえ",,"[""海ごみ問題""]",,"人口減少",""
"24","heavy","2025-08-07 03:41:39.685724+00","女性","70代以上","自営業（その他）","岡山県内","北区","[""展示見学"",""ワークショップ"",""その他""]","16. 平和と公正をすべての人に","[""節電・節水"",""地産地消"",""マイバッグ・マイボトルの使用"",""ゴミ分別"",""寄付・ボランティア"",""フードロス削減""]","孫が活動をしているから","はい","自分が出来る事を実践出来るように常日頃意識していきたい","{""展示"":""5"",""ステージ"":""5"",""ワークショップ"":""5"",""飲食"":""4"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""全体"":""5""}","14：カンコー学生服","はい","色んな方に説明してもらい理解しやすかった","[""防災など安全・安心な社会"",""健康・福祉・貧困"",""環境保全"",""クリーンエネルギーへの転換""]",,"一人一人が意識をもち日々生活をしていきたい。小さい頃からの教えが大事だと思います。",""
"25","heavy","2025-08-07 03:45:06.897733+00","女性","30代","自営業（その他）","岡山県内","赤磐市","[""その他""]","4. 質の高い教育をみんなに","[""特になし""]","ない","いいえ",,"{""展示"":""4"",""ワークショップ"":""3"",""飲食"":""4"",""ステージ"":""3"",""その他（ステンレスボトル回収・マイボトル持参など）"":""4"",""全体"":""3""}","5：大王製紙株式会社","はい",,"[""健康・福祉・貧困""]",,"はい",""
"26","heavy","2025-08-07 03:45:52.343745+00","女性","30代","主婦","岡山県内","岡山市","[""ワークショップ""]","6. 安全な水とトイレを世界中に","[""地産地消"",""マイバッグ・マイボトルの使用"",""ゴミ分別""]","子供への教育","いいえ",,"{""展示"":""5"",""ステージ"":""5"",""ワークショップ"":""5"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""全体"":""5"",""飲食"":""5""}","41：一般社団法人DESIGN GOALs","いいえ",,"[""防災など安全・安心な社会"",""健康・福祉・貧困""]",,"分からない",""
"27","heavy","2025-08-07 03:46:17.336627+00","女性","中学生以下","学生","岡山県内","倉敷市","[""ステージ・講演""]","14. 海の豊かさを守ろう","[""マイバッグ・マイボトルの使用""]","ともだちがやっていたからやるようになった","はい","ごみの分別","{""ステージ"":""3"",""展示"":""3"",""ワークショップ"":""3"",""飲食"":""3"",""その他（ステンレスボトル回収・マイボトル持参など）"":""3"",""全体"":""3""}","54：SDGsネットワークおかやま","はい",,"[""海ごみ問題""]",,"環境を豊かにする",""
"28","heavy","2025-08-07 03:46:40.571205+00","女性","50代","会社員","岡山県内","岡山市","[""ワークショップ""]","1. 貧困をなくそう","[""節電・節水"",""マイバッグ・マイボトルの使用"",""ゴミ分別""]","かいしゎ","いいえ",,"{""ステージ"":""5"",""展示"":""5"",""ワークショップ"":""2"",""飲食"":""1"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""全体"":""4""}","1：株式会社中電工 岡山統括支社","いいえ",,"[""森林の有効活用""]",,"皆が当たり前に取り組めるような意識を持てること",""
"29","heavy","2025-08-07 03:47:06.962048+00","男性","30代","自営業（その他）","岡山県内","赤磐市","[""付き添い""]","6. 安全な水とトイレを世界中に","[""地産地消"",""ペーパーレス化""]","環境に優しいから","いいえ",,"{""展示"":""4"",""ステージ"":""4"",""ワークショップ"":""4"",""飲食"":""5"",""その他（ステンレスボトル回収・マイボトル持参など）"":""3"",""全体"":""3""}","5：大王製紙株式会社","はい",,"[""海ごみ問題"",""森林の有効活用"",""クリーンエネルギーへの転換""]",,"なんでもやれば良いってもんじゃぁない",""
"30","heavy","2025-08-07 03:48:47.023375+00","女性","中学生以下","学生","岡山県内","総社市","[""ステージ・講演""]","6. 安全な水とトイレを世界中に","[""マイバッグ・マイボトルの使用""]","学校の授業","はい","海ごみをなくす","{""展示"":""3"",""ステージ"":""3"",""ワークショップ"":""3"",""飲食"":""3"",""その他（ステンレスボトル回収・マイボトル持参など）"":""3"",""全体"":""3""}","54：SDGsネットワークおかやま","はい",,"[""５Ｒ""]",,"みんな平等に",""
"31","heavy","2025-08-07 03:49:40.574473+00","男性","中学生以下","その他","岡山県内","岡山市","[""ワークショップ""]","16. 平和と公正をすべての人に","[""ゴミ分別""]","学校","いいえ",,"{""展示"":""3"",""ワークショップ"":""3"",""ステージ"":""3"",""飲食"":""3"",""その他（ステンレスボトル回収・マイボトル持参など）"":""3"",""全体"":""3""}","1：株式会社中電工 岡山統括支社","いいえ",,"[""森林の有効活用""]",,"難しい",""
"32","heavy","2025-08-07 03:50:10.298104+00","男性","30代","教職員","岡山県内","岡山市北区","[""展示見学"",""ワークショップ""]","1. 貧困をなくそう","[""節電・節水""]","授業","はい",,"{""展示"":""5"",""ステージ"":""4"",""ワークショップ"":""4"",""飲食"":""4"",""その他（ステンレスボトル回収・マイボトル持参など）"":""4"",""全体"":""4""}","1：株式会社中電工 岡山統括支社","はい",,"[""海ごみ問題""]",,"意識",""
"34","heavy","2025-08-07 03:52:33.800815+00","女性","30代","会社員","岡山県内","倉敷市","[""展示見学""]","7. エネルギーをみんなにそしてクリーンに","[""節電・節水"",""地産地消""]","イベントで触発されて","はい","節電、節水、徒歩での移動","{""展示"":""4"",""ステージ"":""3"",""ワークショップ"":""3"",""飲食"":""3"",""その他（ステンレスボトル回収・マイボトル持参など）"":""3"",""全体"":""4""}","7：JFE西日本ジーエス株式会社","はい","知らない環境への外サポートを知ることができた","[""フードロス"",""森林の有効活用"",""防災など安全・安心な社会"",""健康・福祉・貧困""]",,"なかなか周知されていないこと",""
"35","heavy","2025-08-07 03:54:12.889755+00","男性","40代","会社員","岡山県内","倉敷市","[""展示見学""]","12. つくる責任つかう責任","[""節電・節水"",""公共交通機関の利用"",""フードロス削減"",""マイバッグ・マイボトルの使用""]","新聞","はい","省エネ","{""展示"":""4"",""ステージ"":""4"",""ワークショップ"":""4"",""飲食"":""4"",""その他（ステンレスボトル回収・マイボトル持参など）"":""4"",""全体"":""5""}","7：JFE西日本ジーエス株式会社","はい",,"[""森林の有効活用"",""海ごみ問題"",""防災など安全・安心な社会""]",,"皆が意識して少しづつ取り組む",""
"36","heavy","2025-08-07 03:54:24.426189+00","女性","大学生","学生","岡山県内","岡山市","[""ワークショップ"",""ステージ・講演""]","4. 質の高い教育をみんなに","[""寄付・ボランティア"",""マイバッグ・マイボトルの使用""]","学校","はい","節約","{""展示"":""5"",""ステージ"":""5"",""ワークショップ"":""5"",""飲食"":""5"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""全体"":""5""}","48：NPO法人teamAIR","いいえ",,"[""健康・福祉・貧困""]",,"全員が一致の意識を持っていない。",""
"37","heavy","2025-08-07 03:55:06.135976+00","女性","大学生","学生","岡山県内","岡山市北区","[""その他""]","13. 気候変動に具体的な対策を","[""節電・節水"",""公共交通機関の利用"",""マイバッグ・マイボトルの使用""]","学校の授業","はい","ボランティア","{""展示"":""5"",""ステージ"":""5"",""ワークショップ"":""5"",""飲食"":""4"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""全体"":""5""}","55：岡山大学　OU!万博","はい","ブースを回っている時","[""海ごみ問題""]",,"ゴミの分別",""
"38","heavy","2025-08-07 03:56:38.773204+00","女性","70代以上","無職","岡山県内","岡山市北区","[""ワークショップ""]","11. 住み続けられるまちづくりを","[""節電・節水"",""ゴミ分別"",""フードロス削減""]","関連ｲﾍﾞﾝﾄに触発された","はい","節電","{""展示"":""4"",""ワークショップ"":""5"",""全体"":""4"",""ステージ"":""3"",""飲食"":""3"",""その他（ステンレスボトル回収・マイボトル持参など）"":""3""}","82：岡山理科大学","はい",,"[""海ごみ問題"",""フードロス"",""健康・福祉・貧困""]",,"年齢に関係なく参加出来て良かった","毎年参加したい"
"39","heavy","2025-08-07 03:59:01.120659+00","女性","高校生","学生","岡山県内","岡山市南区","[""ワークショップ""]","1. 貧困をなくそう","[""節電・節水"",""寄付・ボランティア""]","授業","はい",,"{""展示"":""5"",""ステージ"":""3"",""ワークショップ"":""5"",""飲食"":""4"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""全体"":""5""}","86：岡山南高校 商業クラブ","はい",,"[""海ごみ問題""]",,"意識の少なさ",""
